,id,member_id,ctime,note,ip_address,appcomponent,module,controller,do,lang_key,member_name
43,44,1,1315855070,Forum 'Community Archive Project' created,178.140.119.217,forums,forums,forums,donew,,
44,45,1,1315855171,Forum 'External Materials Archive' created,178.140.119.217,forums,forums,forums,donew,,
45,46,1,1315855298,Forum 'Members Material Archive' created,178.140.119.217,forums,forums,forums,donew,,
46,47,1,1315855321,Category 'Iron March Forum Archives'  edited,178.140.119.217,forums,forums,forums,doedit,,
47,48,1,1315855501,Forum 'Fascism by country' created,178.140.119.217,forums,forums,forums,donew,,
48,49,1,1315855526,Forum 'Fascism by country'  edited,178.140.119.217,forums,forums,forums,doedit,,
49,50,1,1315855609,Forum 'Italia' created,178.140.119.217,forums,forums,forums,donew,,
50,51,1,1315855653,Forum 'United Kingdom' created,178.140.119.217,forums,forums,forums,donew,,
51,52,1,1315855748,Forum 'Éire' created,178.140.119.217,forums,forums,forums,donew,,
52,53,1,1315855802,Forum 'Deutschland' created,178.140.119.217,forums,forums,forums,donew,,
53,54,1,1315855847,Forum 'Norge' created,178.140.119.217,forums,forums,forums,donew,,
54,55,1,1315855927,Forum 'Sverige' created,178.140.119.217,forums,forums,forums,donew,,
55,56,1,1315855994,Forum 'Nederland' created,178.140.119.217,forums,forums,forums,donew,,
56,57,1,1315856140,Forum 'Россия' created,178.140.119.217,forums,forums,forums,donew,,
57,58,1,1315856155,Forum 'United Kingdom'  edited,178.140.119.217,forums,forums,forums,doedit,,
58,59,1,1315856209,Forum 'United States of America' created,178.140.119.217,forums,forums,forums,donew,,
59,60,1,1315856320,Forum 'România' created,178.140.119.217,forums,forums,forums,donew,,
60,61,1,1315856599,Forum 'Propaganda Ministry' created,178.140.119.217,forums,forums,forums,donew,,
61,62,1,1315856726,Forum 'Main Office' created,178.140.119.217,forums,forums,forums,donew,,
62,63,1,1315856768,Forum 'Video Department' created,178.140.119.217,forums,forums,forums,donew,,
63,64,1,1315856807,Forum 'Imagery Department' created,178.140.119.217,forums,forums,forums,donew,,
64,65,1,1315856884,Forum 'Press Department' created,178.140.119.217,forums,forums,forums,donew,,
65,66,1,1315856901,Forum 'Imagery Department'  edited,178.140.119.217,forums,forums,forums,doedit,,
66,67,1,1315856912,Forum 'Imagery Department'  edited,178.140.119.217,forums,forums,forums,doedit,,
67,68,1,1315856943,Forum 'Video Department'  edited,178.140.119.217,forums,forums,forums,doedit,,
68,69,1,1315857091,Forum 'Debate Duel' created,178.140.119.217,forums,forums,forums,donew,,
69,70,1,1315857108,Forum 'Debate Duel'  edited,178.140.119.217,forums,forums,forums,doedit,,
70,71,1,1315857174,Forum 'Rules and Challenges' created,178.140.119.217,forums,forums,forums,donew,,
71,72,1,1315857257,Forum 'The Arena' created,178.140.119.217,forums,forums,forums,donew,,
72,73,1,1315857321,Forum 'Duel Archives' created,178.140.119.217,forums,forums,forums,donew,,
73,74,1,1315858969,Category 'Opposing Views' created,178.140.119.217,forums,forums,forums,donew,,
74,75,1,1315859107,Forum 'Fascism and the Left' created,178.140.119.217,forums,forums,forums,donew,,
75,76,1,1315859209,Forum 'Fascism and the Right' created,178.140.119.217,forums,forums,forums,donew,,
76,77,1,1315859241,Forum 'Fascism and Nazism' created,178.140.119.217,forums,forums,forums,donew,,
77,78,1,1315859350,Forum 'Concentration Camp' created,178.140.119.217,forums,forums,forums,donew,,
78,79,1,1315860015,Edited Member 'Kacen' account,178.140.119.217,members,members,members,member_edit,,
79,80,1,1315864669,Edited Group 'Prisoner',178.140.119.217,members,groups,groups,doedit,,
80,81,1,1315865097,Forum 'Black Corps Compound'  edited,178.140.119.217,forums,forums,forums,doedit,,
81,82,1,1315865726,Edited Group 'The Adminship',178.140.119.217,members,groups,groups,doedit,,
82,83,1,1315865838,Edited Group 'The Adminship',178.140.119.217,members,groups,groups,doedit,,
83,84,1,1315865875,Edited Group 'The Adminship',178.140.119.217,members,groups,groups,doedit,,
84,85,1,1315865886,Edited Group 'Black Corps',178.140.119.217,members,groups,groups,doedit,,
85,86,1,1315866637,Edited Group 'Exiled',178.140.119.217,members,groups,groups,doedit,,
86,87,1,1315866657,Edited Group 'Prisoner',178.140.119.217,members,groups,groups,doedit,,
87,88,1,1315871000,Edited Rank Setting,178.140.119.217,members,members,ranks,do_rank_edit,,
88,89,1,1315871027,Edited Rank Setting,178.140.119.217,members,members,ranks,do_rank_edit,,
89,90,1,1315871141,Edited Rank Setting,178.140.119.217,members,members,ranks,do_rank_edit,,
90,91,1,1315871281,Added New Rank Setting,178.140.119.217,members,members,ranks,do_add_rank,,
91,92,1,1315871391,Edited Rank Setting,178.140.119.217,members,members,ranks,do_rank_edit,,
92,93,1,1315874499,Removed Rank Setting,178.140.119.217,members,members,ranks,rank_delete,,
93,94,1,1315874501,Removed Rank Setting,178.140.119.217,members,members,ranks,rank_delete,,
94,95,1,1315874504,Removed Rank Setting,178.140.119.217,members,members,ranks,rank_delete,,
95,96,1,1315874507,Removed Rank Setting,178.140.119.217,members,members,ranks,rank_delete,,
96,97,1,1315877879,Edited Member 'Benjamin Noyles' account,178.140.119.217,members,members,members,member_edit,,
97,98,1,1315901317,Member email address changed from slavros_a@mail.ru to slavros_a@mail.ru ( Member ID: 1 ),178.140.119.217,members,members,editform,save_email,,
98,99,1,1315902478,Forum 'Tech Support' created,178.140.119.217,forums,forums,forums,donew,,
99,100,1,1315903326,Forum access permissions edited in Duel Archives,178.140.119.217,forums,forums,forums,pdoedit,,
100,101,1,1315903363,Forum access permissions edited in The Arena,178.140.119.217,forums,forums,forums,pdoedit,,
101,102,1,1315910826,Edited Member 'Woman in Black' account,178.140.119.217,members,members,members,member_edit,,
102,103,1,1315924928,Edited Member 'Mierce' account,178.140.119.217,members,members,members,member_edit,,
103,1258,1,1361840512,Forum access permissions edited in Concentration Camp,178.140.113.148,forums,forums,forums,pdoedit,,
104,105,1,1316002620,Added Group 'Propaganda Ministry Worker',178.140.119.217,members,groups,groups,doadd,,
105,106,1,1316002729,Edited Group 'Propaganda Ministry Worker',178.140.119.217,members,groups,groups,doedit,,
106,107,1,1316002793,Forum access permissions edited in Video Department,178.140.119.217,forums,forums,forums,pdoedit,,
107,108,1,1316002813,Forum access permissions edited in Imagery Department,178.140.119.217,forums,forums,forums,pdoedit,,
108,109,1,1316002821,Forum access permissions edited in Press Department,178.140.119.217,forums,forums,forums,pdoedit,,
109,110,1,1316002868,Forum 'Video Department'  edited,178.140.119.217,forums,forums,forums,doedit,,
110,111,1,1316002876,Forum 'Imagery Department'  edited,178.140.119.217,forums,forums,forums,doedit,,
111,112,1,1316002884,Forum 'Press Department'  edited,178.140.119.217,forums,forums,forums,doedit,,
112,114,1,1316097024,Edited Member 'Ritz' account,178.140.119.217,members,members,members,member_edit,,
113,115,1,1316097065,Edited Group 'PM Worker',178.140.119.217,members,groups,groups,doedit,,
114,1257,1,1361839658,Edited Member 'Citizens For Equality' account,178.140.113.148,members,members,members,member_edit,,
115,117,1,1316346131,Forum 'Documentaries'  edited,178.140.121.11,forums,forums,forums,doedit,,
116,118,1,1316376515,Edited Member 'PhilippeLizard' account,178.140.121.11,members,members,members,member_edit,,
117,1256,1,1361769064,Edited Member 'Talleyrand' account,178.140.113.148,members,members,members,member_edit,,
118,121,1,1316684364,Edited Member 'American_Blackshirt' account,178.140.121.11,members,members,members,member_edit,,
119,1255,1,1361684521,Edited Member 'Omera' account,178.140.113.148,members,members,members,member_edit,,
120,123,1,1317121723,Forum 'Militarism' created,178.140.121.11,forums,forums,forums,donew,,
121,124,1,1317194837,Forum 'Religion' created,178.140.121.11,forums,forums,forums,donew,,
122,1254,1,1361352473,Edited Member 'MrShutkolub' account,178.176.85.243,members,members,members,member_edit,,
123,1253,1,1361342513,Forum 'Music' created,178.176.87.172,forums,forums,forums,donew,,
124,1252,1,1361256503,Edited Member 'AntifaUnion' account,178.177.231.50,members,members,members,member_edit,,
125,1251,1,1360487670,Edited Member 'Antithesis762' account,178.140.113.148,members,members,members,member_edit,,
126,130,1,1318021426,Forum 'Fascism and Nazism'  edited,178.140.121.11,forums,forums,forums,doedit,,
127,131,1,1318021573,Forum 'Fascism and Racialism' created,178.140.121.11,forums,forums,forums,donew,,
128,132,1,1318021853,Category 'Opposition Area' created,178.140.121.11,forums,forums,forums,donew,,
129,133,1,1318021878,Forum 'Opposition Area'  edited,178.140.121.11,forums,forums,forums,doedit,,
130,134,1,1318021910,Forum 'Opposition Area'  edited,178.140.121.11,forums,forums,forums,doedit,,
131,135,1,1318021948,Forum 'Fascism and the Left'  edited,178.140.121.11,forums,forums,forums,doedit,,
132,136,1,1318021967,Forum 'Fascism and the Right'  edited,178.140.121.11,forums,forums,forums,doedit,,
133,137,1,1318021980,Forum 'Fascism and Nazism'  edited,178.140.121.11,forums,forums,forums,doedit,,
134,138,1,1318021997,Forum 'Fascism and Racialism'  edited,178.140.121.11,forums,forums,forums,doedit,,
135,1250,1,1360486236,Member's personal profile photo removed ( Member ID: 298 ),178.140.113.148,members,ajax,editform,remove_photo,,
136,140,1,1318101732,Forum 'Community Archive Project' created,178.140.121.11,forums,forums,forums,donew,,
137,141,1,1318101903,Forum 'Archive Project Central'  edited,178.140.121.11,forums,forums,forums,doedit,,
138,142,1,1318101932,Forum 'External Materials Archive'  edited,178.140.121.11,forums,forums,forums,doedit,,
139,143,1,1318101949,Forum 'Members Material Archive'  edited,178.140.121.11,forums,forums,forums,doedit,,
140,144,1,1318102099,Removed forum: 'Iron March Forum Archives',178.140.121.11,forums,forums,forums,dodelete,,
141,1249,1,1360479098,Edited Member 'Antithesis762' account,178.140.113.148,members,members,members,member_edit,,
142,146,9,1324323452,Edited Member 'Ben Barton' account,88.147.20.162,members,members,members,member_edit,,
143,147,1,1325004176,Altered ban status for member Frost Bummer,188.32.178.123,members,members,members,ban_member,,
144,148,1,1325004205,Deleted Member(s): Frost Bummer,188.32.178.123,members,ajax,members,do_delete,,
145,149,9,1326129839,Edited Member 'Frost Hammer' account,88.147.21.204,members,members,members,member_edit,,
146,150,1,1326788358,Edited Member 'Владимир_Борисов' account,188.32.178.123,members,members,members,member_edit,,
147,1248,1,1359975714,Edited Member 'F.S.J. Zero Twelve' account,178.140.113.148,members,members,members,member_edit,,
148,152,1,1327779322,Deleted Member(s): Pete Jauregui II,188.32.178.123,members,members,members,member_delete,,
149,153,1,1327779434,Deleted Member(s): miss green venom,188.32.178.123,members,members,members,member_delete,,
150,154,1,1327779456,Deleted Member(s): Stratelates,188.32.178.123,members,members,members,member_delete,,
151,155,1,1327779555,Deleted Member(s): BlitzOfTheReich14,188.32.178.123,members,members,members,member_delete,,
152,156,1,1327779571,Deleted Member(s): British Blackshirt,188.32.178.123,members,members,members,member_delete,,
153,157,1,1327779592,Deleted Member(s): PIC_American,188.32.178.123,members,members,members,member_delete,,
154,158,1,1327779629,Deleted Member(s): MaibrafefVani,188.32.178.123,members,members,members,member_delete,,
155,159,1,1327779747,Deleted Member(s): dackkorto,188.32.178.123,members,members,members,member_delete,,
156,160,1,1327779758,Deleted Member(s): JAC88,188.32.178.123,members,members,members,member_delete,,
157,161,1,1327779810,Deleted Member(s): DucitAmorPatriae,188.32.178.123,members,members,members,member_delete,,
158,162,1,1327779817,Deleted Member(s): Drieu_La_Rochelle,188.32.178.123,members,members,members,member_delete,,
159,163,1,1327779864,Deleted Member(s): Belevedere,188.32.178.123,members,members,members,member_delete,,
160,164,1,1327779886,Deleted Member(s): nevinn18,188.32.178.123,members,members,members,member_delete,,
161,165,1,1327779904,Deleted Member(s): conlaiarla,188.32.178.123,members,members,members,member_delete,,
162,166,1,1327779951,Deleted Member(s): jarrodwalker820,188.32.178.123,members,members,members,member_delete,,
163,167,1,1327780099,Deleted Member(s): IgnisSanat1499,188.32.178.123,members,members,members,member_delete,,
164,168,1,1327780111,Deleted Member(s): Envillhip,188.32.178.123,members,members,members,member_delete,,
165,169,1,1327780124,Deleted Member(s): Boston Blackshirt,188.32.178.123,members,members,members,member_delete,,
166,170,1,1327780132,Deleted Member(s): Innonrydype,188.32.178.123,members,members,members,member_delete,,
167,171,1,1327780153,Deleted Member(s): Astaphaeus,188.32.178.123,members,members,members,member_delete,,
168,172,1,1327780175,Deleted Member(s): Gonaacronia,188.32.178.123,members,members,members,member_delete,,
169,173,1,1327780184,Deleted Member(s): SedyWratrytexAl,188.32.178.123,members,members,members,member_delete,,
170,174,1,1327780219,Deleted Member(s): Freikorps,188.32.178.123,members,members,members,member_delete,,
171,175,1,1327780228,Deleted Member(s): Benjamin Barton,188.32.178.123,members,members,members,member_delete,,
172,176,1,1327780235,Deleted Member(s): LawrenceGaffagan,188.32.178.123,members,members,members,member_delete,,
173,177,1,1327780244,Deleted Member(s): black_shirt_CorkScrew,188.32.178.123,members,members,members,member_delete,,
174,178,1,1327780254,Deleted Member(s): Novus Ordo,188.32.178.123,members,members,members,member_delete,,
175,179,1,1327780292,Deleted Member(s): Feigemi,188.32.178.123,members,members,members,member_delete,,
176,180,1,1327780305,Deleted Member(s): Diggie Dee,188.32.178.123,members,members,members,member_delete,,
177,181,1,1327780314,Deleted Member(s): Charadriiform,188.32.178.123,members,members,members,member_delete,,
178,182,1,1327780341,Deleted Member(s): JW2012,188.32.178.123,members,members,members,member_delete,,
179,183,1,1327780344,Deleted Member(s): Legionist,188.32.178.123,members,members,members,member_delete,,
180,184,1,1327826412,Edited Member 'Ben Barton' account,188.32.178.123,members,members,members,member_edit,,
181,185,9,1327851611,Edited Member 'Ben Barton' account,88.147.19.220,members,members,members,member_edit,,
182,186,1,1327925036,Member password changed ( Member ID: 13 ),188.32.178.123,members,members,editform,save_password,,
183,187,1,1327947581,Edited Member 'Ben Barton' account,188.32.178.123,members,members,members,member_edit,,
184,1247,1,1359711564,Edited Member 'Ada' account,178.140.113.148,members,members,members,member_edit,,
185,1246,1,1359711445,Forum 'Propaganda'  edited,178.140.113.148,forums,forums,forums,doedit,,
186,1245,1,1359711151,Removed forum: 'Duel Archives',178.140.113.148,forums,forums,forums,dodelete,,
187,1244,1,1359711139,Removed forum: 'The Arena',178.140.113.148,forums,forums,forums,dodelete,,
188,1243,1,1359710847,Removed forum: 'Rules and Challenges',178.140.113.148,forums,forums,forums,dodelete,,
189,196,1,1328250150,Member password changed ( Member ID: 23 ),188.32.178.123,members,members,editform,save_password,,
190,197,1,1328251671,Deleted Member(s): tuna head,188.32.178.123,members,members,members,member_delete,,
191,198,1,1328262214,Edited Member 'Frost Hammer' account,188.32.178.123,members,members,members,member_edit,,
192,1242,1,1359556570,Forum 'Propaganda'  edited,178.140.113.148,forums,forums,forums,doedit,,
193,201,1,1328448851,Member's personal profile photo removed ( Member ID: 5 ),188.32.178.123,members,ajax,editform,remove_photo,,
194,202,1,1328448875,Edited Member 'Will to Power' account,188.32.178.123,members,members,members,member_edit,,
195,1241,1,1359556146,Removed forum: 'Propaganda Ministry',178.140.113.148,forums,forums,forums,dodelete,,
196,1240,1,1359556138,Removed forum: 'Main Office',178.140.113.148,forums,forums,forums,dodelete,,
197,205,1,1328880816,Forum 'Personalities' created,188.32.178.123,forums,forums,forums,donew,,
198,206,1,1328897726,Deleted Member(s): Gry-E21,188.32.178.123,members,members,members,member_delete,,
199,207,1,1328897784,Deleted Member(s): Coldblooded,188.32.178.123,members,members,members,member_delete,,
200,208,1,1328897806,Deleted Member(s): one000,188.32.178.123,members,members,members,member_delete,,
201,209,1,1328897822,Deleted Member(s): Vlad III,188.32.178.123,members,members,members,member_delete,,
202,210,1,1328897859,Deleted Member(s): otakumilitia,188.32.178.123,members,members,members,member_delete,,
203,211,1,1328897960,Deleted Member(s): NatCap,188.32.178.123,members,members,members,member_delete,,
204,212,1,1328897999,Deleted Member(s): Grajkow-T87,188.32.178.123,members,members,members,member_delete,,
205,213,1,1328898014,Deleted Member(s): Prurhoory,188.32.178.123,members,members,members,member_delete,,
206,214,1,1328898163,Deleted Member(s): Guessesyday,188.32.178.123,members,members,members,member_delete,,
207,215,1,1328898208,Deleted Member(s): Dr.h.c. Adolf Benca,188.32.178.123,members,members,members,member_delete,,
208,216,1,1328898211,Deleted Member(s): Dr.h.c.Adolf Benca,188.32.178.123,members,members,members,member_delete,,
209,1239,1,1359556126,Removed forum: 'Video Department',178.140.113.148,forums,forums,forums,dodelete,,
210,1238,1,1359556118,Removed forum: 'Imagery Department',178.140.113.148,forums,forums,forums,dodelete,,
211,1237,1,1359556108,Removed forum: 'Press Department',178.140.113.148,forums,forums,forums,dodelete,,
212,221,1,1329922742,Deleted Member(s): GistiadiaLext,188.32.178.123,members,members,members,member_delete,,
213,222,1,1329922771,Deleted Member(s): Soldier,188.32.178.123,members,members,members,member_delete,,
214,223,1,1329922793,Deleted Member(s): burenifm,188.32.178.123,members,members,members,member_delete,,
215,224,1,1329922801,Deleted Member(s): burenixf,188.32.178.123,members,members,members,member_delete,,
216,225,1,1329922819,Deleted Member(s): Pozycj-G51,188.32.178.123,members,members,members,member_delete,,
217,226,1,1329922831,Deleted Member(s): mkieeae,188.32.178.123,members,members,members,member_delete,,
218,227,1,1329922845,Deleted Member(s): daneriav,188.32.178.123,members,members,members,member_delete,,
219,228,1,1329922848,Deleted Member(s): banetiba,188.32.178.123,members,members,members,member_delete,,
220,229,1,1329977441,Edited Member 'Cricket' account,188.32.178.123,members,members,members,member_edit,,
221,230,1,1329977516,Changed member's display name 'Cricket' to 'Richard the Cricket',188.32.178.123,members,members,editform,save_display_name,,
222,231,1,1329977556,Edited Member 'Richard the Cricket' account,188.32.178.123,members,members,members,member_edit,,
223,232,1,1329977573,Edited Member 'Richard the Cricket' account,188.32.178.123,members,members,members,member_edit,,
224,233,1,1329977611,Edited Member 'Richard the Cricket' account,188.32.178.123,members,members,members,member_edit,,
225,234,1,1329977991,Edited Member 'Richard the Cricket' account,188.32.178.123,members,members,members,member_edit,,
226,235,1,1329978320,Edited Member 'Richard the Cricket' account,188.32.178.123,members,members,members,member_edit,,
227,236,1,1329979099,Edited Member 'Richard the Cricket' account,188.32.178.123,members,members,members,member_edit,,
228,237,1,1329979153,Edited Member 'Richard the Cricket' account,188.32.178.123,members,members,members,member_edit,,
229,238,1,1329979178,Edited Member 'Richard the Cricket' account,188.32.178.123,members,members,members,member_edit,,
230,239,1,1329979190,Edited Member 'Richard the Cricket' account,188.32.178.123,members,members,members,member_edit,,
231,240,1,1330051356,Edited Member 'Saturn' account,188.32.178.123,members,members,members,member_edit,,
232,241,1,1331271436,Forum 'Hispanidad' created,188.32.178.123,forums,forums,forums,donew,,
233,242,1,1331271452,Forum 'Hungary'  edited,188.32.178.123,forums,forums,forums,doedit,,
234,243,1,1331467392,Forum access permissions edited in Hispanidad,188.32.178.123,forums,forums,forums,pdoedit,,
235,1236,1,1359555995,Emptied forum 'Main Office' of all posts,178.140.113.148,forums,forums,forums,doempty,,
236,245,1,1331593165,Forum access permissions edited in Canada,188.32.178.123,forums,forums,forums,pdoedit,,
237,246,1,1331593307,Forum 'Canada'  edited,188.32.178.123,forums,forums,forums,doedit,,
238,247,1,1331593459,Removed forum: 'Canada',188.32.178.123,forums,forums,forums,dodelete,,
239,248,1,1331593587,Forum 'Canada' created,188.32.178.123,forums,forums,forums,donew,,
240,249,1,1331594118,Deleted Member(s): Imperator,188.32.178.123,members,members,members,member_delete,,
241,250,1,1331594177,Deleted Member(s): nationalactionistwarfare,188.32.178.123,members,members,members,member_delete,,
242,251,1,1331594183,Deleted Member(s): buy cheap cialis soft,188.32.178.123,members,members,members,member_delete,,
243,252,1,1331594204,Deleted Member(s): tamgpg,188.32.178.123,members,members,members,member_delete,,
244,253,1,1331594230,Deleted Member(s): Blocky858,188.32.178.123,members,members,members,member_delete,,
245,254,1,1332260871,Edited Member 'Ethnic Nationalist' account,188.32.178.123,members,members,members,member_edit,,
246,255,1,1332385473,Forum access permissions edited in Documentaries,188.32.178.123,forums,forums,forums,pdoedit,,
247,256,1,1332385490,Forum access permissions edited in Religion,188.32.178.123,forums,forums,forums,pdoedit,,
248,257,1,1332385508,Forum access permissions edited in Personalities,188.32.178.123,forums,forums,forums,pdoedit,,
249,258,1,1332763216,Edited Member 'F.S.J. Zero Twelve' account,77.37.146.69,members,members,members,member_edit,,
250,259,1,1332763280,Forum access permissions edited in Opposing Views,77.37.146.69,forums,forums,forums,pdoedit,,
251,260,1,1332763315,Edited Member 'F.S.J. Zero Twelve' account,77.37.146.69,members,members,members,member_edit,,
252,261,1,1332764918,Edited Member 'F.S.J. Zero Twelve' account,77.37.146.69,members,members,members,member_edit,,
253,262,7,1333005499,Edited Member 'Jamie M' account,31.220.211.77,members,members,members,member_edit,,
254,263,35,1333380979,Edited Member 'Imperokaiser' account,69.245.181.16,members,members,members,member_edit,,
255,1235,1,1359555954,Emptied forum 'Main Office' of all posts,178.140.113.148,forums,forums,forums,doempty,,
256,1234,7,1359555913,Removed forum: 'Debate Duel',87.114.232.226,forums,forums,forums,dodelete,,
257,267,35,1334201817,Administrator updated their email address to american.blackshirt@gmail.com,69.245.181.16,core,mycp,details,save,,
258,268,1,1334239507,Edited Member 'Talleyrand' account,77.37.146.69,members,members,members,member_edit,,
259,1233,1,1359555911,Emptied forum 'Video Department' of all posts,178.140.113.148,forums,forums,forums,doempty,,
260,1232,1,1359555903,Emptied forum 'Imagery Department' of all posts,178.140.113.148,forums,forums,forums,doempty,,
261,271,9,1334862864,Altered ban status for member UltraNationalist,88.147.32.251,members,members,members,ban_member,,
262,272,1,1335122993,Deleted Member(s): Arhion,77.37.146.69,members,members,members,member_delete,,
263,273,1,1335123016,Deleted Member(s): Revolt against all shit,77.37.146.69,members,members,members,member_delete,,
264,274,1,1335123043,Changed member's display name 'Official Opposition of IM' to 'Failed Opposition',77.37.146.69,members,members,editform,save_display_name,,
265,275,1,1335123057,Deleted Member(s): Rob Grayson,77.37.146.69,members,members,members,member_delete,,
266,276,1,1335123092,Deleted Member(s): RolãoPreto,77.37.146.69,members,members,members,member_delete,,
267,277,1,1335123121,Deleted Member(s): Rhyme,77.37.146.69,members,members,members,member_delete,,
268,278,1,1335123165,Deleted Member(s): JollyRogerPaul1976,77.37.146.69,members,members,members,member_delete,,
269,279,1,1335123270,Deleted Member(s): Sovereign,77.37.146.69,members,members,members,member_delete,,
270,280,1,1335123314,Deleted Member(s): LattestGoapse,77.37.146.69,members,members,members,member_delete,,
271,281,1,1335123323,Deleted Member(s): John_White,77.37.146.69,members,members,members,member_delete,,
272,282,7,1335342627,Member password changed ( Member ID: 8 ),31.220.211.60,members,members,editform,save_password,,
273,283,1,1335382015,Edited Member 'Talleyrand' account,77.37.146.69,members,members,members,member_edit,,
274,284,1,1335969204,Edited Member 'Elburzito' account,77.37.146.69,members,members,members,member_edit,,
275,285,1,1335969306,Edited Member 'Elburzito' account,77.37.146.69,members,members,members,member_edit,,
276,286,1,1335969329,Edited Member 'Ritz' account,77.37.146.69,members,members,members,member_edit,,
277,287,1,1335969401,Edited Member 'Ritz' account,77.37.146.69,members,members,members,member_edit,,
278,288,7,1336421932,Edited Member 'hey8' account,31.220.211.101,members,members,members,member_edit,,
279,1231,1,1359555891,Emptied forum 'Press Department' of all posts,178.140.113.148,forums,forums,forums,doempty,,
280,1230,1,1359555833,Emptied forum 'Propaganda Ministry' of all posts,178.140.113.148,forums,forums,forums,doempty,,
281,1229,1,1359555733,Forum 'Propaganda'  edited,178.140.113.148,forums,forums,forums,doedit,,
282,1228,1,1359555636,Forum 'Propaganda'  edited,178.140.113.148,forums,forums,forums,doedit,,
283,1227,1,1359555530,Forum 'Propaganda'  edited,178.140.113.148,forums,forums,forums,doedit,,
